Date,reported_I,incidence_conbined_intervention_I,incidence_conbined_intervention_I_up,incidence_conbined_intervention_I_down,incidence_simulation_I,incidence_simulation_I_up,incidence_simulation_I_down,simulation_I,simulation_I_up,simulation_I_down
2020-06-04,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2020-06-05,3,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5
2020-06-06,5,10.758841670363136,14.09241727703036,8.681335994490727,10.758841670363136,14.09241727703036,8.681335994490727,14.258841670363136,17.59241727703036,12.181335994490727
2020-06-07,15,10.607953204615821,11.508567803009345,9.399506799484909,10.607953204615821,11.508567803009345,9.399506799484909,24.866274892197396,29.122100138479247,21.590725198248123
2020-06-08,25,8.885943727414013,9.713215690064542,8.462802002991925,8.885943727414013,9.713215690064542,8.462802002991925,33.79059488373226,38.616636070033266,30.061563458439153
2020-06-09,40,10.285772467694962,11.842621974426285,9.332506507098389,10.285772467694962,11.842621974426285,9.332506507098389,44.075564753489786,50.427007367276886,39.39849733064631
2020-06-10,55,13.932527642114781,16.235662684020454,12.082331764834128,14.065220873680575,16.40165372508913,12.18295023527105,58.174890562837966,66.51236028674913,51.65276319882544
2020-06-11,67,18.076880571194067,20.92344065123893,15.558395635879766,18.493242864387454,21.424720144968145,15.898022275644609,76.72083364678271,87.67009105555645,67.60761375572574
2020-06-12,98,21.809312216270428,25.00248465429516,18.849986183404237,22.611131598923805,25.963261041225334,19.511441055750783,99.38239194380527,113.22690986999523,87.31997198455957
2020-06-13,134,25.546472513968514,29.25808274594345,22.104382619513228,27.01598842480294,31.04852999095801,23.259568440237466,126.42178724086332,143.98705904739597,110.75565350986108
2020-06-14,165,25.94030070019783,29.311752385097993,22.67200330876267,29.284398257726448,33.50067305082585,25.285118597377334,155.721399738454,177.09283034710654,136.21685424939443
2020-06-15,180,23.716331302591872,26.433627335653327,21.04124047333894,29.7685685253876,33.957752140318036,25.827074697420315,185.55052687110248,210.5980590771936,162.3223397553448
2020-06-16,201,22.313287427290724,24.919229356055013,19.846861394341207,31.26319737892402,35.88187058749161,26.988189625942912,216.8317062090747,246.09589200984055,189.60745867784712
2020-06-17,217,20.672975074587907,23.139548106808384,18.38123536511975,32.24733487078251,37.15238423357902,27.82147925291417,249.0784153114073,282.87459315176017,217.8815288021689
2020-06-18,238,18.435044234331343,20.666992206822457,16.397875303586382,32.96397467311981,38.07975629759672,28.366019706696154,282.03454709422067,320.3764878586605,246.66593896661593
2020-06-19,249,16.413277674560824,18.48388216497951,14.518698754411155,33.72519065698593,39.13086554330401,28.865590537143724,315.7370849966492,359.18886340676295,275.96408146286444
2020-06-20,262,14.934306368596268,16.95145909282468,13.098739509579662,37.03776252624961,43.62988160863721,31.23560570306421,352.85178047917174,402.37778461458777,307.45139967935523
2020-06-21,275,12.687621699887679,14.57298981203754,11.002735042248869,39.99691379159812,47.62376100657463,33.33534966318807,392.7653956557579,449.61205912908605,341.20809806083594
2020-06-22,282,10.24958352178703,11.955467328541786,8.730153522213598,43.37523429846302,52.324202483478416,35.70810582652371,436.1581351188809,501.3217812793406,377.2579465064374
2020-06-23,285,8.71365508845541,10.272670403249439,7.33756832358419,52.85513271292153,65.14134603359103,42.419770104470985,489.07335916093297,566.0896767246172,419.97929241715224
2020-06-24,302,7.808546451063127,9.300061793152544,6.519554868042684,65.07419158469453,81.66755183939607,51.01884860260152,554.14923740706,647.298861606766,471.56287662955856
2020-06-25,305,6.851114778072585,8.266558958806652,5.642365015374498,77.00798759948034,97.8796353566327,59.33614880146851,631.1811918205285,744.7272970535527,531.7049324307644
2020-06-26,322,5.590242595594557,6.900165224957074,4.497268952837715,90.33154892854887,116.22580177521274,68.48925335932464,721.5028803911993,859.0212537659736,601.088372726545
2020-06-27,329,4.402472526201172,5.5715823694513045,3.445309901476398,108.76215959263024,142.36882649323917,80.81040000394519,830.2359870442685,1000.4368469924532,683.2646097401354
2020-06-28,329,3.419697743980337,4.44740339101058,2.59787973116092,123.02351519089004,163.36214982886426,89.88273379029914,953.0767374695641,1163.1286353042628,775.0496150024468
2020-06-29,331,2.7548003216160417,3.660445907549875,2.050342167440015,134.79561573685982,181.5576306542804,96.57233171396379,1087.9232330204602,1344.840749251731,871.8429231243084
2020-06-30,331,2.2547305426262803,3.0748935137708253,1.641272560014219,155.35675487379206,212.64555817130295,109.17936415721371,1243.2697824990246,1555.228428225634,982.2105448222703
2020-07-01,333,1.7395859971117869,2.485315877567639,1.2098845297735283,161.45221093004596,223.30672738274265,112.58986695811629,1404.2118724250727,1777.4931609307598,1095.5550638183315
2020-07-02,334,1.3235126305968472,2.0055566701213334,0.8765964920816417,169.4387598117974,236.7035300860045,117.70554084461061,1574.047060576058,2012.9306418075937,1213.5905994116358
2020-07-03,334,1.0060703822664536,1.6204196965051028,0.632945896285663,181.51093305220587,256.9993691984962,124.43820855569493,1755.9628132218445,2267.5671240129154,1338.7107298981482
2020-07-04,335,0.7314291735536299,1.2461086116331086,0.4362788276849058,197.6822087241464,283.54337719332375,133.88957591941482,1954.1387910417136,2551.0194045042144,1472.9081101743855
2020-07-05,335,0.5234176991419763,0.945667582590916,0.2977976958533218,203.55836016682053,295.49013753290393,136.25402263072985,2159.2438766978817,2845.365137049534,1609.818220119793
