Date,reported_I,incidence_conbined_intervention_I,incidence_conbined_intervention_I_up,incidence_conbined_intervention_I_down,incidence_simulation_I,incidence_simulation_I_up,incidence_simulation_I_down
2020-06-04,2,2.0,2.0,2.0,2.0,2.0,2.0
2020-06-05,3,9.11509757917144,10.403813130476703,7.913988102845173,9.11509757917144,10.403813130476703,7.913988102845173
2020-06-06,5,7.2709014302151465,7.914697509970983,6.590062978154348,7.2709014302151465,7.914697509970983,6.590062978154348
2020-06-07,15,7.861044240629615,8.592066174620005,7.118102900287456,7.861044240629615,8.592066174620005,7.118102900287456
2020-06-08,25,9.179678638914016,10.141472370737999,8.249581753733356,9.179678638914016,10.141472370737999,8.249581753733356
2020-06-09,40,10.842849563352662,12.064041253706359,9.693565839652297,10.842849563352662,12.064041253706359,9.693565839652297
2020-06-10,55,13.76619914145377,15.503287188469901,12.185447589016631,13.973519562376968,15.757007590287243,12.354663922549118
2020-06-11,67,17.083721908267066,19.38016890066794,15.014503921164918,17.959547038627385,20.44594642590317,15.730584676489467
2020-06-12,98,20.463239109122743,23.31820519705325,17.912050284083488,23.03874792399828,26.464228746123567,20.00836585612425
2020-06-13,134,23.490465448904764,26.850697243358187,20.5017907030123,28.499056206266474,33.01923742912534,24.584874493170247
2020-06-14,165,26.402346963032983,30.28790481452639,22.960599999104364,35.39459360340339,41.32770419612452,30.233424015721855
2020-06-15,180,25.764060026003328,29.354729125806116,22.519060031891826,38.1943261136617,44.643816129247675,32.59658014112948
2020-06-16,201,23.301207992297797,26.363975884504836,20.512624791773234,39.10383774161526,45.657847304615686,33.37001880699337
2020-06-17,217,21.67955197088539,24.534270979105038,19.09658832156886,44.16203002863409,52.12360924838588,37.28567064349937
2020-06-18,238,19.530869775256065,22.046476852793184,17.220746725323004,48.08751428533999,57.14338748895882,40.35980952476526
2020-06-19,249,16.975094205611132,19.178371094885247,14.945099384910113,49.58475281108794,59.22118059432471,41.36654781482894
2020-06-20,262,14.696149487390926,16.690325051164407,12.873237465720031,50.591394804035446,60.757872456752956,41.95842157652357
2020-06-21,275,12.815564698258889,14.672391152417775,11.099531924667948,51.55473621115193,62.31907782842,42.487854279489504
2020-06-22,282,10.687779153004623,12.379364653204002,9.139286154725927,49.082720912535564,59.41315173771266,40.32435761168117
2020-06-23,285,8.73966757179564,10.264849044127363,7.3454303539158765,46.77309453762247,56.85770249631874,38.11524008978886
2020-06-24,302,7.353672034700038,8.79057549237424,6.060291865758217,49.42089133689028,60.76775383246514,39.777768315416644
2020-06-25,305,6.29750048920572,7.659485091412701,5.098108075254067,51.89520084758941,64.42240263789645,41.34109509404937
2020-06-26,322,5.280695502431108,6.545747650338028,4.182098231071165,53.89782639639513,67.52124777213797,42.49560734572461
2020-06-27,329,4.285640174769372,5.4598246513866036,3.3023066553387803,52.1642729205204,65.85407109892905,40.87157050571111
2020-06-28,329,3.44221886493516,4.499462663165703,2.5828545769394253,50.02724322235717,63.665551025639616,38.88703138001752
2020-06-29,331,2.753689133770214,3.6988131021918744,2.0085878569844744,47.825358189682845,61.435930839206975,36.80716648278343
2020-06-30,331,2.232369252368905,3.0811439463824053,1.5829409300314121,48.28917686609533,62.75306114668096,36.721104613387695
2020-07-01,333,1.8069168943617337,2.564483669684084,1.2430556552428076,48.51196927587502,63.667488590090045,36.50901712914622
2020-07-02,334,1.4127026913524225,2.0676991751674354,0.9365096912988637,43.96458039507357,58.32154467272912,32.62893320075384
2020-07-03,334,1.1056500383715202,1.6721140230196392,0.7060625159998427,40.768525933095546,54.81106455836938,29.80600328798073
2020-07-04,335,0.8659712273141214,1.3518480679999976,0.5304317807885649,37.54315110082075,51.09523571554054,27.083306669201644
2020-07-05,335,0.6701318843803193,1.084699165343065,0.39350965685253986,32.609158681892005,44.957582179423966,23.219402371787474
