Date,reported_I,incidence_conbined_intervention_I,incidence_conbined_intervention_I_up,incidence_conbined_intervention_I_down,incidence_simulation_I,incidence_simulation_I_up,incidence_simulation_I_down
2020-06-04,2,2.0,2.0,2.0,2.0,2.0,2.0
2020-06-05,3,9.113241590448325,10.42542858708896,7.940814241383935,9.113241590448325,10.42542858708896,7.940814241383935
2020-06-06,5,7.271837597050288,7.930017311298737,6.609033947236483,7.271837597050288,7.930017311298737,6.609033947236483
2020-06-07,15,7.856186503025933,8.615129015046838,7.144251380924333,7.856186503025933,8.615129015046838,7.144251380924333
2020-06-08,25,9.173024074551384,10.14377841965416,8.290127698043237,9.173024074551384,10.14377841965416,8.290127698043237
2020-06-09,40,10.836244359603093,12.073283030155261,9.740042551743048,10.836244359603093,12.073283030155261,9.740042551743048
2020-06-10,55,13.75500021913923,15.502807258729934,12.229686322892828,13.75500021913923,15.502807258729934,12.229686322892828
2020-06-11,67,17.068961225080358,19.3581755241786,15.07277484809527,17.163038478222585,19.473941887460327,15.149685774067656
2020-06-12,98,20.450535826700015,23.277267125042872,17.965869785338956,20.795993198934568,23.70241402778536,18.247522776392685
2020-06-13,134,23.48471150416731,26.782082447160434,20.55074418498982,24.201642703899367,27.66068037735353,21.138723841739324
2020-06-14,165,26.39355583624371,30.182308663946337,23.016626117921167,27.758195950493494,31.85328287342953,24.136431464757003
2020-06-15,180,25.75554224761928,29.270232126677815,22.557249536986028,27.660491680933077,31.58262637322765,24.12741207071721
2020-06-16,201,23.302121961645334,26.288545044565527,20.54893129309462,25.6912616316159,29.184179248879826,22.511932077951602
2020-06-17,217,21.676152359561787,24.452918626293368,19.1379818962526,24.915403934057345,28.339538470632707,21.80082884413039
2020-06-18,238,19.51324043017813,21.998132340531438,17.23600454225905,23.239227480185367,26.456029572225546,20.329930773222365
2020-06-19,249,16.97452386577573,19.14322982467849,14.951889126883652,20.917143898165524,23.83368994953302,18.25952724264273
2020-06-20,262,14.701958875491819,16.659316612286084,12.842862873844801,18.875617800587612,21.582061993785246,16.384941698632602
2020-06-21,275,12.819927647660156,14.654702516574634,11.063213903047345,17.55924874561053,20.246190806271372,15.088123506647873
2020-06-22,282,10.696315099531676,12.386104161624779,9.094395000210206,15.783484333924502,18.342509761313522,13.405116333254686
2020-06-23,285,8.748360202473657,10.298522253778787,7.305226530480548,14.039334849906222,16.484196928646657,11.762329023740962
2020-06-24,302,7.360359143667701,8.819775474910331,6.029965472313938,13.47714770475974,15.992083679106058,11.1494471011108
2020-06-25,305,6.305228193735801,7.689227279134279,5.06359016818658,13.077263780942687,15.698193316579562,10.683760394141434
2020-06-26,322,5.285774836638513,6.574260287131457,4.153174924154669,12.621764016955824,15.331976902615539,10.168198002116316
2020-06-27,329,4.292195327790205,5.465018717031656,3.287811178180777,11.526795444328847,14.189019723994601,9.152185500362224
2020-06-28,329,3.449306217005436,4.515414521357466,2.5700779366505957,10.420905420401107,13.041132811911341,8.148386092742603
2020-06-29,331,2.7575076803755234,3.7130507314708034,1.9938362785638146,9.397117483287051,11.941304691651485,7.223244147015003
2020-06-30,331,2.2326926585688285,3.094871236879325,1.5642714697012017,8.830525120395475,11.38407419521348,6.692423153631403
2020-07-01,333,1.8056975426659578,2.5723142350489434,1.2275962731932697,8.274411404580771,10.83212272348848,6.17158061145654
2020-07-02,334,1.4103610416720493,2.0765180816787163,0.9259164599830252,7.1212504786013096,9.513974621627405,5.185100676645775
2020-07-03,334,1.1044268136061286,1.680225207726849,0.6989945306648857,6.206461042526688,8.465158809805873,4.419714848795315
2020-07-04,335,0.8633542349335901,1.3615247153463945,0.5255425158405339,5.389877783699845,7.499531016019235,3.7430634993889336
2020-07-05,335,0.6685661773657058,1.0905119671702692,0.391280298064776,4.4860333131153975,6.414322798570695,3.0376567208530028
