Date,reported_I,incidence_conbined_intervention_I,incidence_conbined_intervention_I_up,incidence_conbined_intervention_I_down,incidence_simulation_I,incidence_simulation_I_up,incidence_simulation_I_down
2020-06-04,2,2.0,2.0,2.0,2.0,2.0,2.0
2020-06-05,3,9.29429977833723,10.625371489956356,8.10731762103956,9.29429977833723,10.625371489956356,8.10731762103956
2020-06-06,5,7.376995115946521,8.029257374722357,6.719235614174216,7.376995115946521,8.029257374722357,6.719235614174216
2020-06-07,15,8.03251875345686,8.795108679948454,7.302382572495689,8.03251875345686,8.795108679948454,7.302382572495689
2020-06-08,25,9.448073885666208,10.4339294097398,8.5247594600283,9.448073885666208,10.4339294097398,8.5247594600283
2020-06-09,40,11.222844169660036,12.485137992349197,10.068400764718904,11.222844169660036,12.485137992349197,10.068400764718904
2020-06-10,55,14.338406876244491,16.140785259281095,12.714800312862284,14.560367671453353,16.409433654742504,12.896371225085682
2020-06-11,67,17.873835181823114,20.25984255667832,15.733219828019015,18.812902007558247,21.39706787291165,16.502099978282985
2020-06-12,98,21.48835186300289,24.455926638958836,18.84244992015922,24.257189877745105,27.834694582223484,21.104925198574715
2020-06-13,134,24.745571575196678,28.264342912074294,21.661538022364603,30.149390887301166,34.87745815429395,26.085208187953082
2020-06-14,165,27.905050689829853,31.985164742919924,24.360379531898474,37.640733001362385,43.92725819008811,32.290692084782975
2020-06-15,180,27.258326183123568,30.97776395090155,23.87169171944988,40.737125417359984,47.50763164334889,34.87951773234855
2020-06-16,201,24.6255268429386,27.75857970201585,21.740303139502565,41.827470239960704,48.71257416681548,35.7699828291583
2020-06-17,217,22.922046115578937,25.81453227509159,20.24361969114747,47.49337378657469,55.82992574293391,40.19800892934349
2020-06-18,238,20.645402359967647,23.21317732016629,18.22348493046119,51.92321159772212,61.41206213604185,43.687290320542346
2020-06-19,249,17.92877694244846,20.194098972128895,15.813999427203427,53.67869997628243,63.785211923957185,44.96171195349762
2020-06-20,262,15.505933064123568,17.55583266889455,13.574959748589153,54.92342918382598,65.53562237991014,45.72400423059622
2020-06-21,275,13.51533458307131,15.448146447783742,11.716638223953671,56.19584229843875,67.48042993999395,46.418863736834105
2020-06-22,282,11.25308345491515,13.011626447815999,9.605644493434179,53.549202809861015,64.47038117563675,44.05735881178591
2020-06-23,285,9.170628767476805,10.804792487343347,7.687558270466418,51.156777391785795,61.802775966058526,41.79719350479148
2020-06-24,302,7.705007650199168,9.246762530476374,6.326792621082217,54.34572923745971,66.44423064143538,43.872652870859795
2020-06-25,305,6.594227373930801,8.052013636177028,5.320420221952016,57.29055868131761,70.81691681096225,45.84821437738102
2020-06-26,322,5.520477888849817,6.877120047379469,4.349842583395884,59.70304821016979,74.53166648483834,47.28747301615332
2020-06-27,329,4.467514130910033,5.705323346061041,3.427010032837708,57.90881421034567,72.73974219243505,45.45348411429266
2020-06-28,329,3.579361053645453,4.695665233837844,2.6656431216791634,55.64831290521653,70.52410874810583,43.2621994441563
2020-06-29,331,2.851185206801268,3.8515467133365475,2.061078804175928,53.31528323870445,68.05673078095472,41.005270420921136
2020-06-30,331,2.3037309593243522,3.1915619227633254,1.6168111751562253,54.02231158728969,69.74106603746938,41.076682744311874
2020-07-01,333,1.8594571195740168,2.646786449350646,1.2623773912285305,54.393964422650285,71.04369486659468,40.91394575124162
2020-07-02,334,1.4438745920771427,2.1287979509642674,0.9450235932970308,49.32093479789606,65.25772203150726,36.728825944252286
2020-07-03,334,1.125701244966498,1.7168463805827539,0.7101816141267371,45.81354677128475,61.343297877618994,33.63873428408966
2020-07-04,335,0.8765852396573286,1.3810297898324095,0.5321126502233879,42.25665460778896,57.30793884185728,30.599456541247417
2020-07-05,335,0.6742655892856109,1.0995182331051372,0.39304402243803777,36.674426631286906,50.40023219835915,26.104441911652927
