Date,reported_I,incidence_conbined_intervention_I,incidence_conbined_intervention_I_up,incidence_conbined_intervention_I_down,incidence_simulation_I,incidence_simulation_I_up,incidence_simulation_I_down
2020-06-04,2,2.0,2.0,2.0,2.0,2.0,2.0
2020-06-05,3,5.285714285714286,5.285714285714286,5.285714285714286,5.285714285714286,5.285714285714286,5.285714285714286
2020-06-06,5,4.837464778598835,4.858513231650865,4.816262442320281,4.837464778598835,4.858513231650865,4.816262442320281
2020-06-07,15,5.323179933614562,5.421942416869467,5.223695406200248,5.323179933614562,5.421942416869467,5.223695406200248
2020-06-08,25,6.190537617899297,6.390191243199756,5.989857962168164,6.190537617899297,6.390191243199756,5.989857962168164
2020-06-09,40,7.292072357828721,7.616173310606755,6.9681473053572525,7.292072357828721,7.616173310606755,6.9681473053572525
2020-06-10,55,9.095767764739094,9.614962611192619,8.581012752278422,9.202458731783121,9.732648962716548,8.677112151958564
2020-06-11,67,11.214869829792299,11.977654021206222,10.464713942992539,11.67564046862089,12.489486896578052,10.876675605532363
2020-06-12,98,13.4699672642132,14.5148289566251,12.450526341191408,14.830065961836869,16.039235844287322,13.655105396699751
2020-06-13,134,15.630449705276106,16.985095230648806,14.31995259755737,18.320308897429836,20.022422379823613,16.68361341024076
2020-06-14,165,17.792666433679923,19.495873421388687,16.15931632878688,22.643377198953292,25.022185914568748,20.382015573470124
2020-06-15,180,18.21987834448518,20.07764574093178,16.449285584572117,25.11654846073661,27.994769388688265,22.40532472057126
2020-06-16,201,17.59075411450918,19.465690655050125,15.81218336342975,26.607453629065702,29.89657604761249,23.536458009849394
2020-06-17,217,17.197785791046506,19.124725896275937,15.380032941407508,30.090798406956672,34.178178839898095,26.318386108570728
2020-06-18,238,16.42172026052424,18.339984786926717,14.62089622069039,33.27548159441184,38.164790532885945,28.808186486691554
2020-06-19,249,15.321898373652418,17.176630274140038,13.588386546447145,35.344206275121365,40.88982059171589,30.323329958723694
2020-06-20,262,14.258007792294155,16.05061452877006,12.59086365646009,37.16688204274938,43.38147875038772,31.593569334983123
2020-06-21,275,13.331585085240889,15.07849994516956,11.716009209864728,39.00081227314796,45.93831445657683,32.83945354659184
2020-06-22,282,12.128781874800048,13.76310222291566,10.623139690448546,39.00043416476365,46.267810015916,32.595393007160276
2020-06-23,285,10.878771032652404,12.375754614152246,9.503698648798562,38.919428734697824,46.51074796519963,32.281442243530584
2020-06-24,302,9.90059117432019,11.301108732825453,8.61919991917117,41.60480569656099,50.235027386560304,34.14004807814731
2020-06-25,305,9.119773086259283,10.452961859920768,7.905849137618706,44.53063441631696,54.29346396467564,36.17031435528324
2020-06-26,322,8.295553933496755,9.540294796098255,7.166523636033779,47.38275831775702,58.323061731518564,38.10593146253699
2020-06-27,329,7.407388522293667,8.538957399669862,6.383789344756261,48.00332108170295,59.53666217491751,38.30086624335541
2020-06-28,329,6.575228418538304,7.595457747851557,5.654582510214523,48.178385047345316,60.20650353418664,38.14027353252361
2020-06-29,331,5.8207572798160925,6.737169642666147,4.995709391638118,48.1872833673702,60.6747776933143,37.84900232250648
2020-06-30,331,5.189011214212784,6.02054159836944,4.442518719899999,49.98694092563904,63.52659320552479,38.886171741447626
2020-07-01,333,4.6258678831273174,5.380252234143196,3.9505677459028905,51.83898766142573,66.48165769978418,39.94700125711872
2020-07-02,334,4.053585172735546,4.721438894728635,3.4567783724514,50.296168294498884,64.94603151308667,38.48598185464122
2020-07-03,334,3.5552703056233614,4.147331733521908,3.0271647140730567,49.33141636042481,64.19260167301482,37.45025628486058
2020-07-04,335,3.1171601101731454,3.6417143989236944,2.6501117854053806,48.234841026702924,63.23327794883505,36.339089331423594
2020-07-05,335,2.71382587111661,3.173792458008191,2.304794391741099,45.34678529342485,59.765589499452716,33.97649002901434
