Date,reported_I,incidence_conbined_intervention_I,incidence_conbined_intervention_I_up,incidence_conbined_intervention_I_down,incidence_simulation_I,incidence_simulation_I_up,incidence_simulation_I_down,simulation_I,simulation_I_up,simulation_I_down
2020-06-04,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2020-06-05,3,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5
2020-06-06,5,10.58920267531161,14.093935773992927,8.486673409454621,10.58920267531161,14.093935773992927,8.486673409454621,14.08920267531161,17.59393577399293,11.986673409454621
2020-06-07,15,10.26562147248211,11.004407204961419,9.122934485504652,10.26562147248211,11.004407204961419,9.122934485504652,24.357118176036387,28.602196115036726,21.106162048115063
2020-06-08,25,8.558927142496486,9.431321713017965,8.185585445064552,8.558927142496486,9.431321713017965,8.185585445064552,32.97403961921535,37.77889478929356,29.30729025304102
2020-06-09,40,10.129239208340142,11.83641088930174,9.155597592221573,10.497593089619127,12.318553044773365,9.414440558088298,43.465097508275974,50.03218015530505,38.76775552989251
2020-06-10,55,13.889626533392228,16.329001050486355,12.02047662104751,15.301481094655124,18.155048463103782,13.112392398734649,58.82205986175469,67.86425992235272,51.941319958936006
2020-06-11,67,18.05553181695082,21.01887735918937,15.552635389699336,21.41719491976979,25.162622074318502,18.248115718544295,80.27408021300306,92.60959617355002,70.39692751238215
2020-06-12,98,21.786726282741313,25.10985355854001,18.85421488065212,27.699474092696452,32.306808564358754,23.63296436522219,108.01560735399349,124.52613799014235,94.27300085485
2020-06-13,134,25.580322845322595,29.53921438998357,22.124304281263736,35.667123334684575,42.10963746809908,30.139920262122942,143.6858886512243,166.20275753040426,124.57740283805512
2020-06-14,165,25.94050309689208,29.397684378540227,22.714540003032308,43.08416763335835,51.2979101426668,35.83240125412061,186.78024063495727,217.02090591279938,161.0450661183148
2020-06-15,180,23.638544159433415,26.420151383011053,20.937851324427818,50.856478556143685,61.43825866313313,41.34231895488631,237.72554544551923,277.6764901682599,203.0494501796335
2020-06-16,201,22.30733758256377,24.957508743634964,19.796603207128268,65.40880881140816,81.06967194398472,51.60164550682377,303.1086983215271,358.2864647928221,255.23371281925355
2020-06-17,217,20.684458121277288,23.206143463192998,18.363402069971606,85.01592498800343,107.41210977161495,65.09168947223012,387.96656894138783,465.243051706321,321.0689936491011
2020-06-18,238,18.440755897819876,20.671482911118442,16.352422344571778,110.0800698679416,141.0812638392486,82.0746918168979,497.89313534750517,605.771682305161,404.81706838115554
2020-06-19,249,16.44374829203756,18.496571433772402,14.48375445812693,139.74365252735154,180.99799640213166,101.66135550279657,637.6628194362784,786.0332681863686,507.3040574673247
2020-06-20,262,14.99677799988816,17.003198397231127,13.10269671195631,181.83759362028232,240.03280909185008,129.12958160364582,819.5246544799518,1025.611521705492,636.8426405395862
2020-06-21,275,12.723796728460567,14.549171402085971,10.967326435428184,221.57209664215057,294.8941286013077,152.52419376197872,1040.3817340534065,1320.373795424789,790.3163941694058
2020-06-22,282,10.246385453444887,11.881843558014204,8.659276499186548,261.98040993953924,352.5368328731666,175.58763397359917,1302.2677910129607,1672.4868703696575,966.8781411646618
2020-06-23,285,8.73090586322185,10.203814200541325,7.324343275095767,336.4623695579437,464.3369454555715,218.90557148035117,1638.8878496299656,2138.146277128977,1186.1067025229645
2020-06-24,302,7.850357506322896,9.255338950570506,6.516974898567146,437.3651396822104,615.285398169474,275.14424858885263,2076.146764028472,2753.1250450679945,1461.561316685461
2020-06-25,305,6.895155689893249,8.243569009145897,5.642126421207164,566.264715618636,808.6719808437599,345.9880014348753,2643.1664429555176,3560.9518488285394,1810.1378867526707
2020-06-26,322,5.603070533196554,6.854225381648268,4.46046464642197,718.8204074897355,1041.6474941878726,427.3894921765692,3361.1248843118824,4597.58433436439,2237.1238582476526
2020-06-27,329,4.3964418899593785,5.5347404313106745,3.402092026377951,936.0373071061542,1380.8015697518545,541.7159945532745,4296.604615524427,5976.763237598123,2782.569291597583
2020-06-28,329,3.4055282890899528,4.401851170029464,2.563206324719848,1138.4910234205117,1704.2769576221676,637.1689628141521,5438.288955902841,7681.761432934336,3417.705357534494
2020-06-29,331,2.744800592700903,3.6272673110865212,2.0248137645949718,1346.8091978291272,2043.794599055654,729.4008923778804,6781.718121694069,9722.457030475296,4150.751542735541
2020-06-30,331,2.2501412699807686,3.050847477111535,1.6272975791757158,1730.262663484254,2681.5188027769245,910.5842653002799,8512.896394925792,12395.512901716385,5064.639329600309
2020-07-01,333,1.7353448594200216,2.4580670058554883,1.1894999482958546,2248.03362328339,3557.003303618093,1142.8308438687934,10761.784276800256,15952.32458233077,6208.464772687705
2020-07-02,334,1.3176067485610279,1.9903823061003034,0.8578725195809569,2912.4345961204535,4680.007503615363,1436.0328140422096,13676.361658239166,20635.235074895198,7651.0981914252425
2020-07-03,334,1.0015668176886858,1.612362909471801,0.6171072203976237,3698.9579434994616,6029.96438026109,1770.4784050620262,17375.284250540455,26677.562294926935,9420.7642542114
2020-07-04,335,0.7251311479793974,1.234665784839862,0.42238144741056266,4814.63341095287,7990.969162092074,2243.2530647218487,22183.9802087652,34663.18919635448,11669.05029502301
2020-07-05,335,0.517621776023467,0.937713905994869,0.28568721107823647,5863.21138128096,9886.420942643452,2633.2089282658076,28036.454590251808,44549.41038190818,14295.148208929091
