Date,reported_I,incidence_conbined_intervention_I,incidence_conbined_intervention_I_up,incidence_conbined_intervention_I_down,incidence_simulation_I,incidence_simulation_I_up,incidence_simulation_I_down
2020-06-04,2,2.0,2.0,2.0,2.0,2.0,2.0
2020-06-05,3,5.285714285714286,5.285714285714286,5.285714285714286,5.285714285714286,5.285714285714286,5.285714285714286
2020-06-06,5,4.837464778598835,4.858513231650865,4.816262442320281,4.837464778598835,4.858513231650865,4.816262442320281
2020-06-07,15,5.323179933614562,5.421942416869467,5.223695406200248,5.323179933614562,5.421942416869467,5.223695406200248
2020-06-08,25,6.190537617899297,6.390191243199756,5.989857962168164,6.190537617899297,6.390191243199756,5.989857962168164
2020-06-09,40,7.292072357828721,7.616173310606755,6.9681473053572525,7.292072357828721,7.616173310606755,6.9681473053572525
2020-06-10,55,9.095767764739094,9.614962611192619,8.581012752278422,9.202458731783121,9.732648962716548,8.677112151958564
2020-06-11,67,11.214869829792299,11.977654021206222,10.464713942992539,11.67564046862089,12.489486896578052,10.876675605532363
2020-06-12,98,13.4699672642132,14.5148289566251,12.450526341191408,14.830065961836869,16.039235844287322,13.655105396699751
2020-06-13,134,15.630449705276106,16.985095230648806,14.31995259755737,18.320308897429836,20.022422379823613,16.68361341024076
2020-06-14,165,17.792666433679923,19.495873421388687,16.15931632878688,22.643377198953292,25.022185914568748,20.382015573470124
2020-06-15,180,18.21987834448518,20.07764574093178,16.449285584572117,26.04376179966672,29.05831150490631,23.20698382563839
2020-06-16,201,17.59075411450918,19.465690655050125,15.81218336342975,29.241080762559605,32.944693000387055,25.791979739593646
2020-06-17,217,17.197785791046506,19.124725896275937,15.380032941407508,34.505507433489925,39.331151145323936,30.06579440228478
2020-06-18,238,16.42172026052424,18.339984786926717,14.62089622069039,40.2496243444491,46.38786484960282,34.665729373855186
2020-06-19,249,15.321898373652418,17.176630274140038,13.588386546447145,46.19926669931901,53.83002495672332,39.33590814049775
2020-06-20,262,14.258007792294155,16.05061452877006,12.59086365646009,51.68465238253394,60.8640052723296,43.51984676097829
2020-06-21,275,13.331585085240889,15.07849994516956,11.716009209864728,58.38520600029541,69.54466904357781,48.57729090036271
2020-06-22,282,12.128781874800048,13.76310222291566,10.623139690448546,63.69419040199456,76.63878867438387,52.43657998470526
2020-06-23,285,10.878771032652404,12.375754614152246,9.503698648798562,69.05036949001382,83.92201732976389,56.25199036979756
2020-06-24,302,9.90059117432019,11.301108732825453,8.61919991917117,78.27182589613797,96.24708503698093,62.98818798651709
2020-06-25,305,9.119773086259283,10.452961859920768,7.905849137618706,88.6730359181225,110.26550020900903,70.52289874929313
2020-06-26,322,8.295553933496755,9.540294796098255,7.166523636033779,99.11264167389562,124.59940192229006,77.92893622883557
2020-06-27,329,7.407388522293667,8.538957399669862,6.383789344756261,110.817413639108,140.86286676746082,86.12823127331035
2020-06-28,329,6.575228418538304,7.595457747851557,5.654582510214523,125.30823325568892,161.13125548081823,96.2194438298414
2020-06-29,331,5.8207572798160925,6.737169642666147,4.995709391638118,135.57090188478782,176.06055577850668,103.02722285636288
2020-06-30,331,5.189011214212784,6.02054159836944,4.442518719899999,144.53877107538534,189.5350748954849,108.736423220633
2020-07-01,333,4.6258678831273174,5.380252234143196,3.9505677459028905,157.46391303125176,208.74110337700782,117.12340936375412
2020-07-02,334,4.053585172735546,4.721438894728635,3.4567783724514,158.0051725833414,211.19951866593388,116.52448976698277
2020-07-03,334,3.5552703056233614,4.147331733521908,3.0271647140730567,161.6360719337245,218.14558383193145,118.0220511142584
2020-07-04,335,3.1171601101731454,3.6417143989236944,2.6501117854053806,164.3920358328725,223.8989117514807,118.90653680397949
2020-07-05,335,2.71382587111661,3.173792458008191,2.304794391741099,169.19960927335512,232.7142611105454,121.15121848822328
