Date,reported_I,incidence_conbined_intervention_I,incidence_conbined_intervention_I_up,incidence_conbined_intervention_I_down,incidence_simulation_I,incidence_simulation_I_up,incidence_simulation_I_down,simulation_I,simulation_I_up,simulation_I_down
2020-06-04,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2020-06-05,3,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5
2020-06-06,5,10.745649714789455,14.115289321230714,8.607841331361787,10.745649714789455,14.115289321230714,8.607841331361787,14.245649714789455,17.615289321230712,12.107841331361785
2020-06-07,15,10.600325140265733,11.510810583585203,9.361160256080053,10.600325140265733,11.510810583585203,9.361160256080053,24.84559058254368,29.142024051230404,21.46433531609221
2020-06-08,25,8.883336860495426,9.738628565159136,8.458631730928328,8.883336860495426,9.738628565159136,8.458631730928328,33.78232383636497,38.63855335412402,29.962529791356673
2020-06-09,40,10.278390714231145,11.913184656933264,9.308303603383997,10.633878495119223,12.357373172104126,9.565041536249021,44.41329090491533,50.98347163306421,39.54907347291996
2020-06-10,55,13.923169095619187,16.258960714536695,12.064059035591432,15.186735842126971,17.885076359057187,13.014779009554605,59.63871656388552,68.52250557310708,52.63158051081159
2020-06-11,67,18.07567900159841,20.956528681100686,15.494231451647167,20.988672083357606,24.594242460407592,17.801224433717945,80.68486192922654,92.68992320258262,70.60180264714678
2020-06-12,98,21.812330025461254,25.08286305483364,18.7920079554263,26.866726870972293,31.266503594948947,22.820446280650156,107.60287423775554,123.4713096876697,93.58434697903728
2020-06-13,134,25.555900059149003,29.415998020000526,22.02927035421442,33.97401761839569,39.879103302983154,28.66422548058211,141.58678594004215,162.98620484578328,122.53112951181038
2020-06-14,165,25.924724211358928,29.3995392663185,22.631028457158934,39.56249727189475,46.719666107678485,33.107910967339436,181.2279709344415,209.2169563576141,156.0930213636323
2020-06-15,180,23.690744275411575,26.518456253929134,20.977511381711018,44.41721552366841,52.846433055676975,36.75735388579253,225.68744473007922,261.50726806330914,193.24676146636895
2020-06-16,201,22.30995392368258,25.011611575330633,19.789671162747325,54.14433682475621,65.84768244395889,43.726721614755604,279.79053362449724,326.70210746484537,237.7818038955242
2020-06-17,217,20.681961341298685,23.21720435583731,18.349667510982826,66.63593551318618,82.43847015299266,52.437645796496575,346.51137804605565,408.8568731573089,291.0504755066813
2020-06-18,238,18.434736186998947,20.6909553712074,16.34922720592781,79.27477960021031,98.74554379017212,61.28634152196127,425.619045951105,507.258402858171,353.31868327993953
2020-06-19,249,16.41948760689605,18.522660262971467,14.514458135616575,90.15377296493051,112.88253971029376,68.98902425493621,515.653840121455,620.1198746025071,422.8167776271996
2020-06-20,262,14.941754697500604,16.99367112476042,13.074003124026358,101.54203581688483,128.0819593117036,77.03715477750467,616.9543788616556,747.1772152036713,500.34240079787435
2020-06-21,275,12.706345912516788,14.592233152581764,10.966149114390667,106.08575305591356,133.8768022192307,79.64958478391807,722.9916702377136,880.7175575941035,580.887855665673
2020-06-22,282,10.270946336253846,11.962880869832926,8.68365234113912,108.68034730514334,137.85641936476355,80.83033312491158,831.7432042165407,1018.6283973224887,663.0246272017484
2020-06-23,285,8.734235880242698,10.283668236839278,7.330231684849375,118.90562672441368,152.977060455127,87.3069147967811,950.32559307311,1170.2228541359138,751.6747072134644
2020-06-24,302,7.823285140530093,9.299998930471778,6.505960621862247,132.9167245013997,173.57496179188053,95.70787872978204,1083.265703472195,1343.347784470588,848.2054379032544
2020-06-25,305,6.867602226598406,8.281089460265164,5.642673838960373,141.34720545863178,185.00368967265638,101.10164165007369,1224.246805954281,1526.9522653146155,950.2661889085505
2020-06-26,322,5.608252010615642,6.907785318260118,4.492641504290795,147.43036713291434,193.78884316395576,105.1505223091142,1371.8254158066675,1719.2049925850915,1055.5946282926948
2020-06-27,329,4.413033329928378,5.580701650170034,3.4397554186084296,156.3581096771742,207.23892377712414,111.41873544087177,1528.2637153581927,1925.4806004216907,1167.821650271092
2020-06-28,329,3.4259162394523646,4.459834235223281,2.5957666054496653,157.89430355374316,210.41505741590208,111.72744155632283,1686.4648680738615,2132.0988383081276,1281.814888555718
2020-06-29,331,2.7599859389510035,3.669065592834328,2.049328876587125,155.20288174689085,208.13823924479604,109.01490573177219,1841.9287956396006,2338.6768587861875,1391.0597643744168
2020-06-30,331,2.260457640169409,3.0805369874243875,1.640294334988947,157.65021477317026,213.2426778500566,110.80666980249543,2000.3119488390607,2549.701617740828,1501.5477491356758
2020-07-01,333,1.745544084795142,2.489133363695876,1.2094158741713652,146.77027984456734,198.5444130565503,104.08057057407424,2146.8615387814725,2745.8849232234584,1606.2083565353278
2020-07-02,334,1.3285299414156784,2.019401787959556,0.8738855247766855,136.90243109426922,185.436146886544,98.5332762923117,2283.90430235134,2927.8791870885175,1706.6344450132733
2020-07-03,334,1.0092336179545554,1.6413133486743636,0.6303213666640257,129.43355106619973,175.87760126654996,93.65066673648346,2415.026246406719,3098.9106861753066,1803.1524283603849
2020-07-04,335,0.7351643418501463,1.2637169923765523,0.4360960204083064,124.36457410231918,170.24044576797542,89.95953049820264,2538.98751311068,3269.3929481199184,1896.2727285790947
2020-07-05,335,0.5275247417528296,0.9608212950558731,0.2964625318672768,114.78205506620412,157.73907956767962,82.17154505806928,2653.2555828421396,3424.098489651208,1983.4750559181693
