Date,reported_I,incidence_conbined_intervention_I,incidence_conbined_intervention_I_up,incidence_conbined_intervention_I_down,incidence_simulation_I,incidence_simulation_I_up,incidence_simulation_I_down,simulation_I,simulation_I_up,simulation_I_down
2020-06-04,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2020-06-05,3,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5
2020-06-06,5,10.58920267531161,14.093935773992927,8.486673409454621,10.58920267531161,14.093935773992927,8.486673409454621,14.089202675311611,17.59393577399293,11.986673409454621
2020-06-07,15,10.26562147248211,11.004407204961419,9.122934485504652,10.26562147248211,11.004407204961419,9.122934485504652,24.357383776355057,28.604761660869833,21.105585508185836
2020-06-08,25,8.558927142496486,9.431321713017965,8.185585445064552,8.558927142496486,9.431321713017965,8.185585445064552,32.97043277176495,37.814162892556716,29.305567854491795
2020-06-09,40,10.129239208340142,11.83641088930174,9.155597592221573,10.129239208340142,11.83641088930174,9.155597592221573,43.0984776964421,49.55897435861241,38.50986332531653
2020-06-10,55,13.889626533392228,16.329001050486355,12.02047662104751,14.024954767134725,16.489218770193407,12.125015224306125,57.154435226829925,65.76431783999321,50.68985386120273
2020-06-11,67,18.05553181695082,21.01887735918937,15.552635389699336,18.475805451377045,21.52520152596508,15.895620178749773,75.67791427728311,86.94565099701416,66.69879309916294
2020-06-12,98,21.786726282741313,25.10985355854001,18.85421488065212,22.594203403845697,26.077252477450596,19.51647842473738,98.29235806547757,112.7184820341983,86.34616689568458
2020-06-13,134,25.580322845322595,29.53921438998357,22.124304281263736,27.064713831724223,31.343640853970037,23.328653633896373,125.38640884350683,143.7739271908747,109.8014053903533
2020-06-14,165,25.94050309689208,29.397684378540227,22.714540003032308,29.363270769221323,33.746744593607716,25.406117359624776,154.79487207937316,177.13369830214708,135.44276204740893
2020-06-15,180,23.638544159433415,26.420151383011053,20.937851324427818,29.86828842045084,34.16450857156738,25.92776486751965,184.69206934660372,210.87065597022357,161.71548408967357
2020-06-16,201,22.30733758256377,24.957508743634964,19.796603207128268,31.489545933279466,36.283753536755555,27.194363832773124,216.16073937168795,246.7882820614259,189.31226472584405
2020-06-17,217,20.684458121277288,23.206143463192998,18.363402069971606,32.586060293190904,37.61842730156613,28.043197941906175,248.78301479236387,284.32039223984395,217.6689509226601
2020-06-18,238,18.440755897819876,20.671482911118442,16.352422344571778,33.39561996797954,38.69099962321182,28.662098589673143,282.16495805096946,322.73471396781446,246.57878266836315
2020-06-19,249,16.44374829203756,18.496571433772402,14.48375445812693,34.24622208089144,39.89709229437346,29.226601222362433,316.38112699009986,362.38426387922436,276.1767738179125
2020-06-20,262,14.99677799988816,17.003198397231127,13.10269671195631,37.83346918155577,44.7919951880056,31.789548953806143,354.18754563180676,406.7207916596447,308.14219380470973
2020-06-21,275,12.723796728460567,14.549171402085971,10.967326435428184,40.98841878524516,48.9690038316507,34.08738198416814,395.225701217336,455.1243526194182,342.5991151148032
2020-06-22,282,10.246385453444887,11.881843558014204,8.659276499186548,42.303402505747485,50.78382589794576,34.99306893663913,437.62621239833067,505.18650310747876,377.9629640044333
2020-06-23,285,8.73090586322185,10.203814200541325,7.324343275095767,46.24064226099393,56.216334052154956,37.783908216469726,483.99890357761035,560.4040563552282,416.3353876374165
2020-06-24,302,7.850357506322896,9.255338950570506,6.516974898567146,52.10996817304198,64.23601498513617,41.86136524372684,536.2469653714325,623.9927169549011,458.81617045860827
2020-06-25,305,6.895155689893249,8.243569009145897,5.642126421207164,57.63876989666724,71.645513468594,45.75049822429744,593.8667621126538,695.1184864884298,505.137562284862
2020-06-26,322,5.603070533196554,6.854225381648268,4.46046464642197,63.2146141943506,79.36867661147959,49.55765671812754,657.1045392924414,773.860027784177,555.1445309939191
2020-06-27,329,4.3964418899593785,5.5347404313106745,3.402092026377951,70.58831420291112,89.55996923901664,54.64665719931837,727.6423732746616,863.595769929448,609.8781284238423
2020-06-28,329,3.4055282890899528,4.401851170029464,2.563206324719848,74.3160756206642,95.07061834592349,56.74198895214121,801.9608393966425,957.3375008649191,667.4374565589397
2020-06-29,331,2.744800592700903,3.6272673110865212,2.0248137645949718,75.9365069127474,98.14084957839763,57.29350140742583,877.9386158223774,1055.0024781849022,725.4658006106265
2020-06-30,331,2.2501412699807686,3.050847477111535,1.6272975791757158,81.01505728903246,105.83227620010213,60.50902972196084,959.0811896204023,1160.3139277181165,787.3693455364266
2020-07-01,333,1.7353448594200216,2.4580670058554883,1.1894999482958546,78.43947925882338,103.10285197344088,58.487205515888434,1037.3772479443498,1262.1875687166198,847.2303260058889
2020-07-02,334,1.3176067485610279,1.9903823061003034,0.8578725195809569,76.58694887898031,100.96130933230437,56.87381078316307,1113.5238625264842,1362.008373872764,905.7462831713174
2020-07-03,334,1.0015668176886858,1.612362909471801,0.6171072203976237,75.97637722896214,100.94959117927034,55.954881153859475,1189.2136680050523,1460.7482722830136,963.353647973516
2020-07-04,335,0.7251311479793974,1.234665784839862,0.42238144741056266,76.64704791789573,102.72660573705753,55.82524067886339,1266.0270325927634,1562.4821359620212,1018.817103015944
2020-07-05,335,0.517621776023467,0.937713905994869,0.28568721107823647,73.5873342109007,99.15615593594181,53.11223285468562,1339.2434023296612,1660.5257395075253,1074.086061025409
