Date,reported_I,incidence_conbined_intervention_I,incidence_conbined_intervention_I_up,incidence_conbined_intervention_I_down,incidence_simulation_I,incidence_simulation_I_up,incidence_simulation_I_down
2020-06-04,2,2.0,2.0,2.0,2.0,2.0,2.0
2020-06-05,3,9.02439024390244,9.02439024390244,9.02439024390244,9.02439024390244,9.02439024390244,9.02439024390244
2020-06-06,5,7.2234570527457205,7.247517876216898,7.198971168802164,7.2234570527457205,7.247517876216898,7.198971168802164
2020-06-07,15,7.808389075219443,7.9676947437753505,7.646269098413819,7.808389075219443,7.9676947437753505,7.646269098413819
2020-06-08,25,9.116313847043635,9.434871557424003,8.792703860672361,9.116313847043635,9.434871557424003,8.792703860672361
2020-06-09,40,10.76865561907335,11.27593431162613,10.256735487443263,10.76865561907335,11.27593431162613,10.256735487443263
2020-06-10,55,13.668721743512052,14.478771014399866,12.858693993627927,13.668721743512052,14.478771014399866,12.858693993627927
2020-06-11,67,16.959819271828483,18.139804882840053,15.790253798011298,17.053080291989694,18.243331211327575,15.873645709523553
2020-06-12,98,20.317638504515806,21.916650990716914,18.746199815765223,20.658696606433686,22.297691883483388,19.049080503372252
2020-06-13,134,23.33130284101337,25.37982521515274,21.33640526689085,24.041323082930422,26.178123768431927,21.962725712326648
2020-06-14,165,26.235109256344316,28.7819332160813,23.777856071567644,27.581997802676106,30.308488353729924,24.95591502817894
2020-06-15,180,25.634505683978247,28.29383220687438,23.085820917108993,27.51958113332476,30.44451729538538,24.7231406117555
2020-06-16,201,23.22187948498933,25.752843235757894,20.809133843102874,25.59381897277703,28.476920370485317,22.855033095955395
2020-06-17,217,21.62963822994771,24.125159221193474,19.265884671618906,24.838374737913234,27.836847502146565,22.012617012034937
2020-06-18,238,19.500157933557162,21.859833454810964,17.27748865800668,23.19741818966488,26.157930371158944,20.425838824733134
2020-06-19,249,16.976338428651836,19.11877692297848,14.968814574184108,20.904516835942196,23.709347189948275,18.295449525688113
2020-06-20,262,14.724005992380505,16.669558171287036,12.911962707390122,18.876397747889527,21.553105304658352,16.405148788536092
2020-06-21,275,12.86185450923865,14.64896854578017,11.208720780788331,17.573345931089648,20.234188760984974,15.139377625765391
2020-06-22,282,10.754781655235465,12.30127709490758,9.331020692053603,15.824119381554624,18.348900846625433,13.532117274764143
2020-06-23,285,8.8100487264553,10.111180176546942,7.6166926622261375,14.093498633260616,16.449570738154527,11.969592628148387
2020-06-24,302,7.420962885824627,8.556589722526743,6.384755166195658,13.530059718646562,15.938440570031666,11.37998778217801
2020-06-25,305,6.366261793443032,7.3813002499168325,5.445749785985038,13.138884232572423,15.618864329974308,10.945474363631543
2020-06-26,322,5.347815145110658,6.228443133509934,4.553086158356231,12.691530270881888,15.221054876596316,10.474644039342433
2020-06-27,329,4.350827458267631,5.083612930435324,3.6918452156365813,11.607610537308922,14.019926564687788,9.509011517654907
2020-06-28,329,3.504586507155678,4.1068495539789645,2.9647452263833873,10.511172167992541,12.786001237054492,8.546992437369768
2020-06-29,331,2.8098651982134255,3.3020691019853134,2.3700801831620617,9.484211562883575,11.619442868296941,7.654459802624276
2020-06-30,331,2.28139025936287,2.6904423047332844,1.9173444884558049,8.920215560721054,11.024218549038148,7.133658241150708
2020-07-01,333,1.8503287044007068,2.1897253279783806,1.549457708919807,8.366691470737823,10.428124286581825,6.63165886790644
2020-07-02,334,1.449799353700326,1.719119577916287,1.2115990080102252,7.206699982036449,9.038509018493434,5.6753687648715125
2020-07-03,334,1.1383184624025935,1.352676123513245,0.9492066967426982,6.294067833077234,7.95064911045737,4.9199916379388045
2020-07-04,335,0.8932269965153783,1.0636689913168398,0.7432281750565016,5.476668692908205,6.965767864537783,4.2506355467218295
2020-07-05,335,0.6928916051359183,0.8263146997505466,0.575672186349887,4.570775348186517,5.842473764317563,3.529364259876458
