Date,reported_I,incidence_conbined_intervention_I,incidence_conbined_intervention_I_up,incidence_conbined_intervention_I_down,incidence_simulation_I,incidence_simulation_I_up,incidence_simulation_I_down
2020-06-04,2,2.0,2.0,2.0,2.0,2.0,2.0
2020-06-05,3,9.02439024390244,9.02439024390244,9.02439024390244,9.02439024390244,9.02439024390244,9.02439024390244
2020-06-06,5,7.2234570527457205,7.247517876216898,7.198971168802164,7.2234570527457205,7.247517876216898,7.198971168802164
2020-06-07,15,7.808389075219443,7.9676947437753505,7.646269098413819,7.808389075219443,7.9676947437753505,7.646269098413819
2020-06-08,25,9.116313847043635,9.434871557424003,8.792703860672361,9.116313847043635,9.434871557424003,8.792703860672361
2020-06-09,40,10.76865561907335,11.27593431162613,10.256735487443263,10.76865561907335,11.27593431162613,10.256735487443263
2020-06-10,55,13.668721743512052,14.478771014399866,12.858693993627927,13.668721743512052,14.478771014399866,12.858693993627927
2020-06-11,67,16.959819271828483,18.139804882840053,15.790253798011298,16.959819271828483,18.139804882840053,15.790253798011298
2020-06-12,98,20.317638504515806,21.916650990716914,18.746199815765223,20.317638504515806,21.916650990716914,18.746199815765223
2020-06-13,134,23.33130284101337,25.37982521515274,21.33640526689085,23.33130284101337,25.37982521515274,21.33640526689085
2020-06-14,165,26.235109256344316,28.7819332160813,23.777856071567644,26.235109256344316,28.7819332160813,23.777856071567644
2020-06-15,180,25.634505683978247,28.29383220687438,23.085820917108993,26.57638177583179,29.354889150571125,23.91548779542149
2020-06-16,201,23.22187948498933,25.752843235757894,20.809133843102874,25.3242112144004,28.133647783282296,22.650777370475563
2020-06-17,217,21.62963822994771,24.125159221193474,19.265884671618906,24.385552926832986,27.26040637371398,21.66849750099807
2020-06-18,238,19.500157933557162,21.859833454810964,17.27748865800668,22.823246410678706,25.661521113965275,20.157592126938596
2020-06-19,249,16.976338428651836,19.11877692297848,14.968814574184108,20.955593088660137,23.704184980787808,18.391443748649365
2020-06-20,262,14.724005992380505,16.669558171287036,12.911962707390122,19.026211080575287,21.66465931649497,16.583048981755272
2020-06-21,275,12.86185450923865,14.64896854578017,11.208720780788331,17.60328875709738,20.202628761803094,15.21718578245625
2020-06-22,282,10.754781655235465,12.30127709490758,9.331020692053603,15.636621052270456,18.057626112051725,13.429095378518811
2020-06-23,285,8.8100487264553,10.111180176546942,7.6166926622261375,13.415172250924599,15.567125971873306,11.463048022775334
2020-06-24,302,7.420962885824627,8.556589722526743,6.384755166195658,11.669406232518181,13.616054063325766,9.913954940852564
2020-06-25,305,6.366261793443032,7.3813002499168325,5.445749785985038,10.399310008219153,12.216363811735745,8.772694393857831
2020-06-26,322,5.347815145110658,6.228443133509934,4.553086158356231,8.967577455188877,10.590012146258706,7.523294785841759
2020-06-27,329,4.350827458267631,5.083612930435324,3.6918452156365813,7.646137695808749,9.074234577452486,6.3815818604719885
2020-06-28,329,3.504586507155678,4.1068495539789645,2.9647452263833873,6.513331407565008,7.769156691210901,5.407401355055574
2020-06-29,331,2.8098651982134255,3.3020691019853134,2.3700801831620617,5.422809074402691,6.495916780585812,4.482147627664965
2020-06-30,331,2.28139025936287,2.6904423047332844,1.9173444884558049,4.470023119837237,5.375878269752888,3.6794219674412365
2020-07-01,333,1.8503287044007068,2.1897253279783806,1.549457708919807,3.7031396893099955,4.472968261178007,3.0344672468636364
2020-07-02,334,1.449799353700326,1.719119577916287,1.2115990080102252,2.935118684375329,3.5543550693943975,2.3988184100472885
2020-07-03,334,1.1383184624025935,1.352676123513245,0.9492066967426982,2.3361683932943036,2.8371727208200466,1.903695430889842
2020-07-04,335,0.8932269965153783,1.0636689913168398,0.7432281750565016,1.8574796724748024,2.262143468398465,1.5092843084842913
2020-07-05,335,0.6928916051359183,0.8263146997505466,0.575672186349887,1.4820306023267276,1.8103028293412804,1.2005273670366137
